playerId,playerName,deviceId,soccerFieldId,raw_time,epoch_time,session,latitude,longitude,altitude,satellite,pdop,speed,heading,accX,accY,accZ,rotX,rotY,rotZ,pitch,roll,temp,step,crc,cnt,synced
,,,,1776019831.80017948150634766,12.04.2026 18:50:31.800,1,48.24013901,16.33674812,220.66700745,27,1.00999999,1.39999998,100.29238129,4200,226,-1562,114,278,-1658,-96.22127533,-0.26395941,-448,3336,4038,43525,0
,,,,1776019832.20017933845520020,12.04.2026 18:50:32.200,1,48.24013519,16.33675766,220.71200562,26,1.00999999,1.71200001,99.71839905,4722,722,-1122,-926,-150,1189,-97.27574921,-1.31137347,-480,3337,767,43526,0
,,,,1776019832.80017900466918945,12.04.2026 18:50:32.800,1,48.24013519,16.33676720,220.75500488,26,1.00999999,1.84599996,110.64746094,3608,790,-1018,-320,-2038,405,-103.01119232,-1.78516471,-432,3338,57603,43527,0
,,,,1776019833.20017886161804199,12.04.2026 18:50:33.200,1,48.24013138,16.33677864,220.81599426,26,1.00999999,2.64700007,111.86821747,11474,2984,-4222,-7409,2454,4395,-117.94998932,-9.74734879,-448,3340,7187,43528,0
,,,,1776019833.70017862319946289,12.04.2026 18:50:33.700,1,48.24012756,16.33679390,220.88200378,25,1.05999994,1.95599997,117.12265778,-1150,-2324,-2174,107,-935,-3348,-94.53585815,16.23949242,-448,3341,58418,43529,0
,,,,1776019834.30017852783203125,12.04.2026 18:50:34.300,1,48.24012375,16.33681488,221.05900574,25,1.02999997,2.59999990,99.58068085,13968,9134,-6252,-263,9136,956,-72.95903015,6.66335201,-448,3343,65409,43530,0
,,,,1776019834.70017814636230469,12.04.2026 18:50:34.700,1,48.24011993,16.33682632,221.00300598,25,1.02999997,2.35100007,93.50974274,11640,2630,-4362,-1502,-809,705,-64.98788452,16.10483360,-432,3344,30104,43531,0
,,,,1776019835.30017805099487305,12.04.2026 18:50:35.300,1,48.24011993,16.33683586,221.06399536,26,1.04999995,1.30100000,79.19268799,3580,140,-1454,1476,-400,-596,-69.22867584,27.20566559,-464,3345,26827,43532,0
,,,,1776019835.70017790794372559,12.04.2026 18:50:35.700,1,48.24012375,16.33684349,220.97799683,25,1.10000002,1.29200006,60.16205978,6492,1590,-1552,-958,-342,594,-77.92804718,17.97621918,-448,3346,64488,43533,0
,,,,1776019836.20017766952514648,12.04.2026 18:50:36.200,1,48.24012756,16.33685112,220.93899536,25,1.10000002,1.16100001,72.75189972,8294,292,-2724,-4,253,-1046,-81.66242218,22.25716591,-480,3347,48776,43534,0
,,,,1776019836.80017733573913574,12.04.2026 18:50:36.800,1,48.24012756,16.33685684,220.91600037,25,1.10000002,1.03499997,68.78753662,6868,1726,-3014,-527,105,-790,-87.86517334,11.55342579,-464,3348,21446,43535,0
,,,,1776019837.20017719268798828,12.04.2026 18:50:37.200,1,48.24012756,16.33686447,220.90299988,25,1.10000002,1.02400005,72.41400146,9508,1790,-3314,1254,928,708,-92.42737579,7.87146139,-448,3349,41365,43536,0
,,,,1776019837.70017695426940918,12.04.2026 18:50:37.700,1,48.24012756,16.33687019,220.85699463,23,1.10000002,0.97100002,84.93409729,7128,-384,-2192,-48,-1149,-587,-95.88425446,16.51344109,-464,3349,10647,43537,0
,,,,1776019838.20017671585083008,12.04.2026 18:50:38.200,1,48.24013138,16.33687592,220.82699585,26,1.10000002,1.08800006,68.59734344,7386,1686,-2040,815,-466,5,-97.93502808,12.60611057,-480,3350,9075,43538,0
,,,,1776019838.70017647743225098,12.04.2026 18:50:38.700,1,48.24013138,16.33688354,220.76300049,26,1.10000002,0.96799999,74.31104279,8130,-300,-2942,80,58,-695,-95.98690033,22.31936836,-448,3351,12368,43539,0
,,,,1776019839.20017623901367188,12.04.2026 18:50:39.200,1,48.24013519,16.33688545,220.76199341,24,1.11000001,1.01499999,45.52938843,8036,2132,-2602,-6941,-3009,2370,-109.92181396,-22.89859200,-448,3352,710,43540,0
,,,,1776019839.70017600059509277,12.04.2026 18:50:39.700,1,48.24013901,16.33688927,220.84399414,28,1.03999996,0.96200001,39.77684021,7828,2138,-2760,-7391,-434,2251,-114.75047302,-64.01583862,-464,3352,47087,43541,0
,,,,1776019840.20017576217651367,12.04.2026 18:50:40.200,1,48.24013901,16.33689117,220.83099365,28,0.97000003,0.55000001,12.84607029,6796,-44,-3062,-900,1009,735,-122.45095062,-75.45433807,-448,3353,56794,43542,0
,,,,1776019840.70017552375793457,12.04.2026 18:50:40.700,1,48.24014282,16.33688927,220.83000183,28,0.95999998,0.60600001,9.81476021,7636,1028,-2960,-626,-2468,-2615,-126.84569550,-64.46915436,-432,3354,7734,43543,0
,,,,1776019841.10017538070678711,12.04.2026 18:50:41.100,1,48.24014664,16.33688927,220.86000061,29,0.93000001,0.31500000,351.60671997,4866,782,-5084,3300,-6049,93,-148.90133667,-43.04544830,-464,3354,50982,43544,0
,,,,1776019841.70017504692077637,12.04.2026 18:50:41.700,1,48.24014664,16.33688736,220.76300049,30,0.97000003,0.19000000,282.79095459,614,60,-9056,195,-1928,567,-177.20654297,-30.29058456,-464,3354,2331,43545,0
,,,,1776019842.10017490386962891,12.04.2026 18:50:42.100,1,48.24014664,16.33688736,220.71400452,31,1.00999999,0.07400000,282.79095459,566,-446,-8912,173,12,33,-180.34623718,-23.91473389,-464,3354,52637,43546,0
,,,,1776019842.70017457008361816,12.04.2026 18:50:42.700,1,48.24014664,16.33688736,220.68099976,29,0.97000003,0.01800000,229.51681519,634,80,-8714,59,-93,-79,-179.12852478,-20.35286903,-432,3354,35546,43547,0
,,,,1776019843.20017433166503906,12.04.2026 18:50:43.200,1,48.24014664,16.33688927,220.52799988,31,0.92000002,0.05700000,229.51681519,358,-64,-8714,23,62,209,-179.61828613,-16.64637375,-448,3354,12827,43548,0
,,,,1776019843.70017433166503906,12.04.2026 18:50:43.700,1,48.24014282,16.33688927,220.12100220,31,0.88999999,0.01200000,229.51681519,432,-82,-8700,-51,69,149,-178.48033142,-13.92807388,-416,3354,26571,43549,0
,,,,1776019844.20017409324645996,12.04.2026 18:50:44.200,1,48.24014282,16.33688927,220.12500000,30,0.88999999,0.00800000,229.51681519,576,22,-8672,-34,50,-46,-178.00030518,-11.94223881,-416,3354,38560,43550,0
