playerId,deviceId,soccerFieldId,epoch_time,session,latitude,longitude,altitude,satellite,pdop,speed,heading,accX,accY,accZ,rotX,rotY,rotZ,pitch,roll,temp,step,crc,cnt,synced
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,4318,-10724,-3926,-4011,2771,-7264,-81.47118378,-25.47218323,-4976,26,61262,43559,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,2112,-5922,-4016,3679,6808,-6415,-87.59078217,-31.65829468,-4992,27,65092,43560,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,380,-4394,-7598,-6099,-2159,8421,-63.3611145,-53.95406342,-5008,27,57967,43561,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-574,-3042,-844,-17536,8198,442,-16.570467,-70.35680389,-5008,27,27649,43562,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-6820,-306,-8110,7126,-2984,3596,-18.51696396,-54.58407593,-4992,27,14666,43563,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-5054,-266,-10924,-16437,2853,20447,23.96857262,-45.21585464,-4992,27,9915,43564,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-6354,4522,-5096,-4076,6085,2792,23.08254623,-47.33498764,-4976,28,54182,43565,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-1670,-1906,-4504,-975,9252,-15863,83.91772461,-16.19731903,-4960,30,58880,43566,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-4396,-1986,-6804,888,2677,-58,63.6929512,-14.74751377,-4928,31,18276,43567,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,-1696,-2486,-5838,2654,-191,-6056,85.82707977,-10.54913807,-4976,33,43066,43568,0
,77686439338177232025102910010003,,0,2,0,0,0,0,0,0,0,70,-1728,-3482,-1630,429,4221,66.224617,-1.789577961,-4928,35,34871,43569,0
